idx,link_to_full_description,title,contributor_country,short_description,image,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4,sdgs-tag-5,sdgs-tag-6,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,thematic_areas-tag-6
6929,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6929,Hydropanel for condensing drinking water,Mexico,"The SOURCE® Hydropanel is a technology that incorporates multiple patented inventions alongside proprietary

trade secrets, making it a one-of-a-kind renewable water technology that uses the power of the sun to extract clean, pollutant-free drinking water from the air. Collected water is then mineralized for optimal composition and taste, making high-quality drinking water a readily available resource.

A hydropanel is like a solar panel, but instead of creating energy, it creates clean, safe drinking water without electric hookups or infrastructure, nearly anywhere.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a1805503-b340-4e77-8c4a-49f4deed490f/51a2a47c41c94374ac09d2e43d80625c.png,33.4942189,-111.926018,,,,,,,Clean water and sanitation,Responsible consumption and production,,,,,clean water,safe drinking water,water harvesting,,,
6891,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6891,Solar-powered floating pump system,Peru,"In the Chullpia lagoon, in the Ocuviri district in Puno, the community implemented an irrigation system that works with solar energy to pump, from a boat, the water necessary for its productive activities. Its capacity for innovation and resilience contributes to having water in dry seasons.

En la laguna de Chullpia, en el distrito de Ocuviri, en Puno, la comunidad implementó un sistema de riego que

funciona con energía solar para bombear, desde un bote, el agua necesaria para sus actividades productivas. Su capacidad de innovación y resiliencia contribuye a contar con agua en las temporadas de sequía.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a35ea848-3e2c-4924-a1ea-643c88074408/527f6c0fa013e8c007c95f8eb51ed474.png,-15.1137211,-70.9090834,,,,,,,Zero hunger,Clean water and sanitation,Affordable and clean energy,,,,resilient agriculture,water scarcity,renewable energy,solar energy,water mobilization,
6786,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6786,Reducing Surface Water Run-Off,North Macedonia,"Detroit-based Parjana Distribution LLC is partnering with Lawrence Technological University (LTU) on a pilot project that involves testing a new stormwater drainage system for parking lots that is expected to significantly reduce stormwater runoff volumes. The technology, named energy-passive groundwater recharge products (EGRPs), includes 31.75mm-diameter hydrophobic, polyethylene tubes composed of five chambers and open channels along edges. Designed to handle up to an inch of rain (25mm) during a 24- hour period, EGRPs facilitate underground water recharge by balancing soil moisture and promoting movement of water between horizontal soil layers.EGRP can be used to improve drainage to infiltrate standing water, manage soil moisture to protect underground infrastructure, or recharge water depleted soils to replenish wells and rejuvenate rivers.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/c5b1f00d-9ded-4cac-812d-59b097d3bc96.png,27.7567667,-81.4639835,36.7014631,-118.755997,38.8950368,-77.0365427,40.2253569,-82.6881395,"Industry, innovation and infrastructure",Sustainable cities and communities,Climate action,,,,Innovative technology to capture water,New national standard in stormwater design,Energy-passive groundwater recharge,,,
6779,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6779,Chilled Water,North Macedonia,"Chilled water is typically provided by chiller units using absorption refrigeration or compression refrigeration. It can then be used to provide cool air, in air handling units, to be ducted around the building, chilled beams, chilled ceiling. Chiller units use a refrigerant that boils at a low temperature and pressure, removing heat from chilled water and the condenses to release that heat which is rejected to the outside or recovered.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/123ff53b-a2ab-4677-b198-54afa54d9d00.png,24.0002488,53.9994829,51,10,25.3336984,51.2295295,,,Climate action,"Industry, innovation and infrastructure",Sustainable cities and communities,,,,energy efficiency,Evaporative Cooling,Technology of Chilled Water,Using compressors for cooling,Cooling directly,
6748,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6748,Tube with Salt River Tubing,North Macedonia,Behavioural,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/d9000380-eaa9-4902-8fd0-6b2ebf2b5131.png,33.4484367,-112.074141,,,,,,,,,,,,,Cooling solution,Salt water Tubing Adventure,Alternative to cool down,Avoiding heat,,
6716,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6716,Ensure the Safety of Outdoor Workers,North Macedonia,"The Local government should schedule outdoor work during the early morning or late in the evening when temperatures are cooler, ensure workers take regular breaks in shaded areas and have access to plenty of water during the heat wave.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/313d29ea-8e4e-4d8f-a0cf-4a60d1ca9fff.png,39.7837304,-100.445882,,,,,,,Good health and well-being,Sustainable cities and communities,,,,,Including health,Scheduling Work Timetable,Ensure water service for workers,Coping with heat wave,,
6696,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6696,Stormwater Harvesting,North Macedonia,"Stormwater harvesting can reduce urban heat island. Stormwater harvesting and water sensitive urban strategic use of water efficiency, rainwater and wastewater at multiple levels can improve the perfomance of centralised water supply systems to deliver more sustainable and affordable outcomes leading to long-run economic benefits.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/e51a08f6-0b1e-4d9b-bff9-596747d94938.png,39.9075,116.39723,,,,,,,Sustainable cities and communities,Responsible consumption and production,,,,,Innovative,Rainwater harvesting equipment,,,,
6694,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6694,Using water/fountains to cope with heat waves in cities,North Macedonia,"Building, repairing and maintaining fountains for drinking and cooling. Cooling by water spray (fountains and recreational water features, such as splash pads and spray parks). Maximising the adoption of closed water cycle for not drinking purposes. Rainwater or domestic and municipal wastewater may be re-used for cooling (e.g. wetting of streets), after proper treatment",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/4290d4b5-536e-4383-a9e6-670bb0816daf.png,25.6242618,42.3528328,-24.7761086,134.755,39.7837304,-100.445882,,,Clean water and sanitation,Sustainable cities and communities,,,,,Eco friendly cooling,Innovative,Using water for cooling,Fountain maintenance,Eco-friendly cooling,
6674,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6674,Misting Systems,North Macedonia,"High-pressure water misting systems that operate with a cooling effect by rapidly evaporating fine water droplets into the air, resulting in lower temperatures.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/c499a48b-62a3-4d1c-a1c7-6d565175632d.png,39.7837304,-100.445882,,,,,,,Clean water and sanitation,Affordable and clean energy,Climate action,,,,climate action,Affordable and Clean Energy,Clean Water and Sanitation,,,
6671,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6671,Boston City Hall Green Roof,North Macedonia,"Boston City Hall's green roof is a 2.5-acre park that includes a mixture of sedum, grasses, and wildflowers. The plants help insulate the building and retain stormwater runoff.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/ef4abafb-81eb-4cf8-ab95-74519d8e0cf1.png,39.7837304,-100.445882,,,,,,,Clean water and sanitation,Sustainable cities and communities,,,,,Sustainable Cities and Communities,Clean Water and Sanitation,,,,
6668,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6668,BCA Roof Garden,North Macedonia,The BCA Roof Garden in Singapore is a community-led rooftop garden that provides fresh produce for the local community. The garden also includes a rainwater harvesting system and is designed to promote biodiversity and reduce the urban heat island effect.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/2885a22e-39fb-4e97-8a6e-e7b1a256ccde.png,1.357107,103.8194992,,,,,,,Zero hunger,Clean water and sanitation,Sustainable cities and communities,,,,Sustainable Cities and Communities,Zero Hunger,Clean Water and Sanitation,,,
6667,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6667,The Algae Roof,North Macedonia,The Algae Roof is a green roof system that uses algae to help cool buildings and produce biofuel. The system can also be used to treat wastewater and reduce stormwater runoff.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/97bd6cbc-259a-486c-9647-e67330487798.png,54.7023545,-3.2765753,,,,,,,Sustainable cities and communities,Clean water and sanitation,Affordable and clean energy,,,,Sustainable Cities and Communities,Affordable and Clean Energy,Clean Water and Sanitation,,,
6617,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6617,Flexi-Pave,North Macedonia,A permeable pavement system made of recycled tires that helps to reduce the urban heat island effect and improve stormwater management.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/0ff79dd5-0d51-4d28-b1a6-50791fc6a3d6.png,39.7837304,-100.445882,,,,,,,Sustainable cities and communities,,,,,,Cool pavement,Stormwater Management,,,,
6615,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6615,Permeable Paving,North Macedonia,"A modular pavement system designed to be more permeable and reflective, reducing the heat island effect and improving stormwater management.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/2da18d61-418c-4afc-9098-1dcf780b6969/6cda34a8-dd3a-419e-911b-80cdf93f6f91.png,-33.8698439,151.2082848,,,,,,,Sustainable cities and communities,,,,,,Cool pavement,Stormwater Management,,,,
6540,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6540,"Solid rain, retaining water for crops",Mexico,"Solid Rain (Lluvia Sólida) is a potassium-based, degradable, non-soluble, and non-toxic granular powder that, upon contact with water, expands and is capable of adsorbing up to 400 times its weight in water, *depending on the type of soil, water quality, climate, plant, etc. It is placed at the root and keeps it hydrated without irrigation or rain. It can be used for plants, crops, trees, gardens, pots, hydroponics, vegetables, etc. The plants will take in moisture according to their needs, ensuring stable and healthy growth, reducing irrigation frequencies, and taking advantage of and optimizing rainwater.

With water availability becoming increasingly difficult, Solid Rain aims to reduce water extraction for agriculture. It allows irrigation or rainwater to be used and made more efficient. It also reduces the risk of loss due to lack of water by reducing the frequency of irrigation by up to 90%.

Innovator: Leonardo Rico Fernández",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a1805503-b340-4e77-8c4a-49f4deed490f/705b717651a84cb0d1f3716e04e69453.png,20.5954708,-100.397059,,,,,,,Sustainable cities and communities,Responsible consumption and production,Clean water and sanitation,,,,irrigation,agrotech,sustainable agriculture,water management,,
6268,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6268,Well water control system,Mexico,"The project addresses the problem of inefficient use and loss of water in Cuernavaca, where approximately half of the water withdrawn is wasted due to leaks and unequal distribution. A solution is proposed that involves metering and equitable distribution of water from wells to users through technology and components such as PVC piping, buckets and electronics for efficient control. The objective is to mitigate waste and ensure more effective use of water resources in the region.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/96f8fa4f-dbf3-4310-9551-ff0c2e86a5ed/36f1fd95568cfa065ca08be754108b77.png,18.75,-99,,,,,,,Sustainable cities and communities,Clean water and sanitation,Climate action,,,,water supply,green technology,water saving,,,
6264,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6264,Measuring the quality of water,Mexico,"Access to good quality, safe water is essential to the health and well-being of communities around the world. However, water quality can vary considerably, and effective tools for real-time monitoring are crucial. In response to this need, an innovative system has been developed that uses sensor technology, WiFi connectivity and cloud services to assess and visualize water quality and provide timely alerts to users.

This is a program for a water quality detector using a home sensor. The program measures water conductivity, calculates the TDS (Total Dissolved Solids) value, and sends the data to ThingSpeak for real-time viewing and monitoring. In addition, it uses the Twilio service to send text messages with the water quality classification according to the ranges established by the World Health Organization (WHO). It also includes functionality to sense water temperature using a DS18B20 sensor.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/96f8fa4f-dbf3-4310-9551-ff0c2e86a5ed/5be7a140557c346f075e1182532eebaa.png,18.75,-99,,,,,,,Good health and well-being,Clean water and sanitation,Climate action,,,,hygiene,green technology,water management,health,green ideas,
